,tiempoEnvio,tiempoRecepcion,tiempoServer,estado,accion,recibido
902,1658418831940,1658418832068.0,1658418831965.0,b'\xf7\xfa\xf9\xf4\xf0\xe7\xa9\xf9\xfa\xf6\xf0\xf0\xf9\x8f\xfe\xfc\xf3\xf1\xf9\xfc\x8e\xfe\xf5\xf2\xf4\xfa\x9f\xff\xf7\xf2\xf3\xf7\xf9\xbc\xf9\xf2\xf6\xfa\xfd\x81\xfd\xf6\xfa\xfe\xff\x82\xff\xf9',2.0,True
903,1658418832076,,,b'\xf7\xfa\xf9\xf4\xf0\xe7\xa9\xf9\xfa\xf6\xf0\xf0\xf9\x8f\xfe\xfc\xf3\xf1\xf9\xfc\x8e\xfe\xf5\xf2\xf4\xfa\x9f\xff\xf7\xf2\xf3\xf7\xf9\xbc\xf9\xf2\xf6\xfa\xfd\x81\xfd\xf6\xfa\xfe\xff\x82\xff\xf9',,False
904,1658418832076,1658418832490.0,1658418832100.0,b'\xf7\xfa\xf9\xf4\xf0\xe7\xa9\xf9\xfa\xf6\xf0\xf0\xf9\x8f\xfe\xfc\xf3\xf1\xf9\xfc\x8e\xfe\xf5\xf2\xf4\xfa\x9f\xff\xf7\xf2\xf3\xf7\xf9\xbc\xf9\xf2\xf6\xfa\xfd\x81\xfd\xf6\xfa\xfe\xff\x82\xff\xf9',2.0,True
905,1658418832551,,,b'\xf8\xf9\xfa\xf4\xef\xe3\x94\xf8\xfa\xf6\xf1\xf1\xfb\x95\xff\xfc\xf3\xf2\xf9\xf0\xe7\xff\xf6\xf4\xf8\xff\x85\xff\xf6\xf5\xf4\xfd\xc2\xf4\xf6\xf4\xf6\xf9\xf9\x92\xfc\xf5\xfa\xfc\xff\x8e\xff\xf9',,False
906,1658418832551,1658418832711.0,1658418832575.0,b'\xf8\xf9\xfa\xf4\xef\xe3\x94\xf8\xfa\xf6\xf1\xf1\xfb\x95\xff\xfc\xf3\xf2\xf9\xf0\xe7\xff\xf6\xf4\xf8\xff\x85\xff\xf6\xf5\xf4\xfd\xc2\xf4\xf6\xf4\xf6\xf9\xf9\x92\xfc\xf5\xfa\xfc\xff\x8e\xff\xf9',2.0,True
907,1658418833004,,,b'\xf8\xf9\xfa\xf4\xef\xe3\x94\xf8\xfa\xf6\xf1\xf1\xfb\x95\xff\xfc\xf3\xf2\xf9\xf0\xe7\xff\xf6\xf4\xf8\xff\x85\xff\xf6\xf5\xf4\xfd\xc2\xf4\xf6\xf4\xf6\xf9\xf9\x92\xfc\xf5\xfa\xfc\xff\x8e\xff\xf9',,False
908,1658418833004,1658418833069.0,1658418833028.0,b'\xf8\xf9\xfa\xf4\xef\xe3\x94\xf8\xfa\xf6\xf1\xf1\xfb\x95\xff\xfc\xf3\xf2\xf9\xf0\xe7\xff\xf6\xf4\xf8\xff\x85\xff\xf6\xf5\xf4\xfd\xc2\xf4\xf6\xf4\xf6\xf9\xf9\x92\xfc\xf5\xfa\xfc\xff\x8e\xff\xf9',2.0,True
909,1658418833087,,,b'\xf8\xf9\xfa\xf4\xef\xe3\x94\xf8\xfa\xf6\xf1\xf1\xfb\x95\xff\xfc\xf3\xf2\xf9\xf0\xe7\xff\xf6\xf4\xf8\xff\x85\xff\xf6\xf5\xf4\xfd\xc2\xf4\xf6\xf4\xf6\xf9\xf9\x92\xfc\xf5\xfa\xfc\xff\x8e\xff\xf9',,False
910,1658418833087,1658418833104.0,1658418833111.0,b'\xf8\xf9\xfa\xf4\xef\xe3\x94\xf8\xfa\xf6\xf1\xf1\xfb\x95\xff\xfc\xf3\xf2\xf9\xf0\xe7\xff\xf6\xf4\xf8\xff\x85\xff\xf6\xf5\xf4\xfd\xc2\xf4\xf6\xf4\xf6\xf9\xf9\x92\xfc\xf5\xfa\xfc\xff\x8e\xff\xf9',2.0,True
911,1658418833111,,,b'\xf7\xf8\xfb\xf6\xdb\xa8\xf7\xf7\xfa\xf8\xf1\xee\x91\xf8\xfe\xfc\xf4\xf1\xac\xf8\xff\xfe\xf6\xf4\xf9\x85\xfe\xfd\xf6\xf5\xfd\x87\xfb\xfa\xf5\xf5\xfe\xc3\xba\xfa\xf7\xf6\xfe\xff\xa8\xfc\xf9\xf8',,False
912,1658418833111,1658418833131.0,1658418833135.0,b'\xf7\xf8\xfb\xf6\xdb\xa8\xf7\xf7\xfa\xf8\xf1\xee\x91\xf8\xfe\xfc\xf4\xf1\xac\xf8\xff\xfe\xf6\xf4\xf9\x85\xfe\xfd\xf6\xf5\xfd\x87\xfb\xfa\xf5\xf5\xfe\xc3\xba\xfa\xf7\xf6\xfe\xff\xa8\xfc\xf9\xf8',2.0,True
913,1658418833138,,,b'\xf7\xf8\xfb\xf6\xdb\xa8\xf7\xf7\xfa\xf8\xf1\xee\x91\xf8\xfe\xfc\xf4\xf1\xac\xf8\xff\xfe\xf6\xf4\xf9\x85\xfe\xfd\xf6\xf5\xfd\x87\xfb\xfa\xf5\xf5\xfe\xc3\xba\xfa\xf7\xf6\xfe\xff\xa8\xfc\xf9\xf8',,False
914,1658418833138,1658418833168.0,1658418833162.0,b'\xf7\xf8\xfb\xf6\xdb\xa8\xf7\xf7\xfa\xf8\xf1\xee\x91\xf8\xfe\xfc\xf4\xf1\xac\xf8\xff\xfe\xf6\xf4\xf9\x85\xfe\xfd\xf6\xf5\xfd\x87\xfb\xfa\xf5\xf5\xfe\xc3\xba\xfa\xf7\xf6\xfe\xff\xa8\xfc\xf9\xf8',2.0,True
915,1658418833184,,,b'\xf7\xf8\xfb\xf6\xdb\xa8\xf7\xf7\xfa\xf8\xf1\xee\x91\xf8\xfe\xfc\xf4\xf1\xac\xf8\xff\xfe\xf6\xf4\xf9\x85\xfe\xfd\xf6\xf5\xfd\x87\xfb\xfa\xf5\xf5\xfe\xc3\xba\xfa\xf7\xf6\xfe\xff\xa8\xfc\xf9\xf8',,False
916,1658418833184,1658418833225.0,1658418833208.0,b'\xf7\xf8\xfb\xf6\xdb\xa8\xf7\xf7\xfa\xf8\xf1\xee\x91\xf8\xfe\xfc\xf4\xf1\xac\xf8\xff\xfe\xf6\xf4\xf9\x85\xfe\xfd\xf6\xf5\xfd\x87\xfb\xfa\xf5\xf5\xfe\xc3\xba\xfa\xf7\xf6\xfe\xff\xa8\xfc\xf9\xf8',2.0,True
917,1658418833256,,,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',,False
918,1658418833256,1658418833270.0,1658418833281.0,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',2.0,True
919,1658418833298,,,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',,False
